错误分类,次数,占比,典型题目,根因总结
逻辑-数据错误,3,17%,三数之和/四数之和/前K高频,"脑子想的是值，手打的却是索引；返回类型和签名不一致"
逻辑-边界,2,11%,无重复字串/四数之和,"窗口收缩条件、数组越界条件容易写反"
逻辑-去重,2,11%,三数之和/四数之和,"忘记 i>0 前置判断，或去重条件逻辑不对"
逻辑-比较器,1,6%,前K高频,"堆的排序方向——到底按谁排序？值还是频率？"
逻辑-遍历对象,1,6%,前K高频,"该遍历去重后的 key 还是原始数组？思路跳跃太快"
逻辑-死循环,1,6%,合并k有序链表,"peek vs poll 的区别没刻进肌肉记忆"
逻辑-指针,1,6%,合并k有序链表,"链表题的通病：只改了 next 但忘了把自己移过去"
逻辑-收缩位置,1,6%,无重复字串,"left 该跳 preIndex+1 还是 right-1？对窗口语义理解不深"
逻辑-前置条件,1,6%,四数之和,"双指针必须先排序——写了外层忘了前置"
逻辑-参数,1,6%,四数之和,"sum==0 vs sum==target，四数之和不是三数之和"
语法-lambda,1,6%,合并k有序链表,"Java 写多了，Kotlin lambda '{ it -> }' 不熟"
语法-when,1,6%,三数之和,"when 表达式 {} 是必需的，不是可选的"
语法-函数引用,1,6%,k个最大元素,"未绑定引用 vs 绑定引用，Kotlin 的 KFunction 机制"
类型-泛型,1,6%,无重复字串,"String 和 Char 混用，忘了 s[i] 返回的是 Char"
